Occupation,Employment Change '22 to '32,Percent Employment Change '22 to '32,Median Annual Wage '23,Typical Entry Level Education Needed,Work Experience in a Related Occupation Needed,Typical on-the-job Training Needed
Home health and personal care aides,804600,21.7,33530,High school diploma or equivalent,None,Short-term on-the-job training
Software developers,410400,25.7,132270,Bachelor's degree,None,None
"Cooks, restaurant",277600,20.399999999999999,35780,No formal educational credential,Less than 5 years,Moderate-term on-the-job training
Stockers and order fillers,178600,6.3,36390,High school diploma or equivalent,None,Short-term on-the-job training
Registered nurses,177400,5.6,86070,Bachelor's degree,None,None
"Laborers and freight, stock, and material movers, hand",158800,5.3,37660,No formal educational credential,None,Short-term on-the-job training
General and operations managers,147300,4.2,101280,Bachelor's degree,5 years or more,None
Medical and health services managers,144700,28.4,110680,Bachelor's degree,Less than 5 years,None
Light truck drivers,133800,11.5,42470,High school diploma or equivalent,None,Short-term on-the-job training
Financial managers,126600,16,156100,Bachelor's degree,5 years or more,None
Nurse practitioners,118600,44.5,126260,Master's degree,None,None
Market research analysts and marketing specialists,116600,13.4,74680,Bachelor's degree,None,None
Medical assistants,105900,13.9,42000,Postsecondary nondegree award,None,None
Management analysts,95700,9.6999999999999993,99410,Bachelor's degree,Less than 5 years,None
Heavy and tractor-trailer truck drivers,89300,4.0999999999999996,54320,Postsecondary nondegree award,None,Short-term on-the-job training
Computer and information systems managers,86000,15.4,169510,Bachelor's degree,5 years or more,None
"Substance abuse, behavioral disorder, and mental health counselors",71500,18.399999999999999,53710,Bachelor's degree,None,None
Accountants and auditors,67400,4.4000000000000004,79880,Bachelor's degree,None,None
Lawyers,62400,7.5,145760,Doctoral or professional degree,None,None
Construction laborers,61900,4.4000000000000004,45300,No formal educational credential,None,Short-term on-the-job training
First-line supervisors of food preparation and serving workers,60000,4.9000000000000004,38520,High school diploma or equivalent,Less than 5 years,None
Industrial machinery mechanics,59900,14.9,61420,High school diploma or equivalent,None,Long-term on-the-job training
Data scientists,59400,35.200000000000003,108020,Bachelor's degree,None,None
"Maintenance and repair workers, general",57200,3.6,46700,High school diploma or equivalent,None,Moderate-term on-the-job training
Nursing assistants,56500,4.0999999999999996,38200,Postsecondary nondegree award,None,None
Project management specialists,54700,6.2,98580,Bachelor's degree,None,None
Information security analysts,53200,31.5,120360,Bachelor's degree,Less than 5 years,None
Animal caretakers,52500,15.5,31200,High school diploma or equivalent,None,Short-term on-the-job training
Human resources specialists,51400,5.9,67650,Bachelor's degree,None,None
Computer systems analysts,51100,9.6,103800,Bachelor's degree,None,None
