year,All Occupations,Healthcare Practitioners and Technical Occupations,Healthcare Diagnosing or Treating Practitioners,Registered Nurses,lower_95_All Occupations,lower_95_Healthcare Practitioners and Technical Occupations,lower_95_Healthcare Diagnosing or Treating Practitioners,lower_95_Registered Nurses,upper_95_All Occupations,upper_95_Healthcare Practitioners and Technical Occupations,upper_95_Healthcare Diagnosing or Treating Practitioners,upper_95_Registered Nurses
2012,0,0,0,0,0,0,0,0,0,0,0,0
2013,1.7661759321869974,1.3840649522283144,1.7255119809415964,1.0596132089081944,1.7661759321869974,1.3840649522283144,1.7255119809415964,1.0596132089081944,1.7661759321869974,1.3840649522283144,1.7255119809415964,1.0596132089081722
2014,3.715285479749819,2.672573474528517,3.2794555962695204,2.024692670407524,3.715285479749819,2.672573474528517,3.2794555962695204,2.024692670407524,3.715285479749819,2.672573474528517,3.2794555962694982,2.024692670407502
2015,5.840121515691821,4.861090232198206,5.994209834734576,4.24946279015026,5.840121515691821,4.861090232198206,5.994209834734576,4.249462790150282,5.8401215156917985,4.861090232198206,5.994209834734576,4.24946279015026
2016,7.7615461781887385,8.739557093986484,9.898618693046469,8.473868442433119,7.7615461781887385,8.52516694802401,9.898618693046469,8.259155473187363,7.761546178188716,8.951440749993367,9.898618693046469,8.68441387929899
2017,9.411133975041386,11.200233204748278,12.590511393378701,10.359228240153673,9.411133975041386,11.200233204748278,12.590511393378701,10.359228240153694,9.411133975041386,11.2002332047483,12.590511393378701,10.359228240153673
2018,11.08743956643643,13.030184589924353,14.690781672310838,12.072225301634788,11.08743956643643,13.030184589924353,14.690781672310838,12.072225301634788,11.08743956643643,13.030184589924353,14.690781672310838,12.072225301634788
2019,12.731654638158485,13.37541650707914,21.47595799459443,13.223335029119433,12.731654638158464,13.37541650707914,21.47595799459441,13.223335029119433,12.731654638158485,13.375416507079162,21.47595799459443,13.223335029119433
2020,6.7633936281014995,12.147169974104344,19.89744356725458,13.383548850029236,6.7633936281014995,12.147169974104322,19.89744356725458,13.383548850029236,6.7633936281014995,12.147169974104344,19.89744356725458,13.383548850029236
2021,8.134774042369308,14.873338710288841,23.333938701165515,15.700574795556532,8.347134425843961,15.099822176944965,23.821228089680034,16.38762728979797,7.923244483182268,14.649503119689399,22.854230573180345,15.026857841904452
2022,13.507261238014024,18.211147030103536,27.45350240900788,16.656162916954575,13.73017237587073,18.444211296167,27.957068093416957,17.11798089174197,13.285222202497128,17.98080757790348,26.957771212147954,16.203308729358533
2023,16.552729075730088,21.363332736377984,31.441238368925404,20.554825776961106,16.781621052993966,21.84189092284099,31.96055950100711,20.554825776961106,16.324732599834423,20.890369495905368,30.92999684804294,20.554825776961106
